Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
!WOW! (Mills Novelty Company 1932) Druadic 1.2b,Mills Novelty Company,1932,Flipperless,1,2819,-,PM,VPX,Druadic,1.2b,2023-06-14
'300' (Gottlieb 1975) Popotte FizX3.3V1,Gottlieb,1975,"Sports, Bowling",4,2539,-,EM,FP,Popotte,FizX3.3V1,2025-07-12
'300' (Gottlieb 1975) Scampa123 1.1 MOD VR,Gottlieb,1975,"Sports, Bowling",4,2539,-,EM,VPX,"Scampa123, Loserman76, Rawd, Pritch33, Leojreimroc, Apophis, HauntFreaks",1.1,2021-09-16
'300' (Gottlieb 1975) Loserman76 1.0.0f,Gottlieb,1975,"Sports, Bowling",4,2539,-,EM,VPX,"Loserman76, Conram29, Francisco666, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0.0f,2021-12-07
'Roid Belt Racers (Original 2025) Anthias 1.0.0,Original,2025,Outer Space,4,,-,SS,VPX,Anthias,1.0.0,2025-02-11
1-2-3 (Automaticos 1973) JPSalas 6.0.0,Automaticos,1973,"TV Show, Game Show",1,5247,-,EM,VPX,"JPSalas, Akiles50000, Loserman76, Kiwi, Leeoneil",6.0.0,2025-09-12
1-2-3 (Automaticos 1973) Ext2k 2.0.0 VR,Automaticos,1973,"TV Show, Game Show",1,5247,b2s required for VR,EM,VPX,"Ext2k, JPSalas",2.0.0,2024-12-31
1024 Bytes (Original 2006) NorthernPinballTeam 1.0,Original,2006,Technology,1,,-,SS,FP,NorthernPinballTeam,1.0,2023-09-08
2 in 1 (Bally 1964) Margoni 1.0,Bally,1964,Cards,2,2698,BAM,EM,FP,Margoni,1.0,2023-09-08
2 in 1 (Bally 1964) Loserman76 1.0 MOD,Bally,1964,Cards,2,2698,-,EM,VPX,"Loserman76, Kees",1.0,2016-08-14
2 in 1 (Bally 1964) Kees 1.0,Bally,1964,Cards,2,2698,-,EM,VPX,Kees,1.0,2023-06-14
2001 (Gottlieb 1971) Wrd1972 0.99a MOD VR,Gottlieb,1971,Fantasy,1,2697,-,EM,VPX,"Wrd1972, Loserman76, Nestorgian, GNance, Leeoneil, Thalamus, BorgDog, Apophis, HauntFreaks, JPSalas",0.99a,2023-04-25
2001 (Gottlieb 1971) Popotte 2.0,Gottlieb,1971,Fantasy,1,2697,-,EM,FP,Popotte,2.0,2023-09-08
2001 (Gottlieb 1971) Loserman76 1.0a,Gottlieb,1971,Fantasy,1,2697,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, HauntFreaks, JPSalas",1.0a,2023-06-15
